Source,Target,Weight,Type
52,10,0.125,undirected
52,11,0.125,undirected
52,12,0.0625,undirected
52,13,0.125,undirected
53,1,0.022727273,undirected
53,2,0.068181818,undirected
53,3,0.068181818,undirected
53,4,0.022727273,undirected
53,6,0.068181818,undirected
53,7,0.045454545,undirected
53,8,0.022727273,undirected
53,9,0.022727273,undirected
53,10,0.022727273,undirected
53,11,0.022727273,undirected
53,12,0.045454545,undirected
53,13,0.022727273,undirected
53,14,0.045454545,undirected
53,15,0.090909091,undirected
54,0,0.085714286,undirected
54,4,0.028571429,undirected
54,6,0.028571429,undirected
54,7,0.028571429,undirected
54,11,0.057142857,undirected
54,12,0.057142857,undirected
54,13,0.057142857,undirected
54,15,0.028571429,undirected
55,0,0.1,undirected
55,1,0.05,undirected
55,2,0.1,undirected
55,4,0.1,undirected
55,5,0.05,undirected
55,7,0.05,undirected
56,1,0.090909091,undirected
56,2,0.045454545,undirected
56,4,0.045454545,undirected
56,6,0.045454545,undirected
56,9,0.090909091,undirected
56,13,0.045454545,undirected
57,5,0.15789474,undirected
57,6,0.052631579,undirected
57,7,0.052631579,undirected
57,9,0.052631579,undirected
57,13,0.052631579,undirected
57,15,0.052631579,undirected
58,0,0.027777778,undirected
58,1,0.027777778,undirected
58,3,0.055555556,undirected
58,4,0.055555556,undirected
58,6,0.055555556,undirected
58,7,0.027777778,undirected
58,8,0.055555556,undirected
58,9,0.027777778,undirected
58,10,0.027777778,undirected
58,11,0.027777778,undirected
58,12,0.055555556,undirected
58,13,0.027777778,undirected
58,14,0.083333333,undirected
59,0,0.032258065,undirected
59,1,0.016129032,undirected
59,2,0.11290323,undirected
59,4,0.016129032,undirected
59,5,0.064516129,undirected
59,6,0.048387097,undirected
59,7,0.064516129,undirected
59,10,0.016129032,undirected
59,11,0.032258065,undirected
59,12,0.032258065,undirected
59,13,0.016129032,undirected
59,15,0.048387097,undirected
60,0,0.21428571,undirected
60,1,0.071428571,undirected
60,6,0.071428571,undirected
60,7,0.071428571,undirected
60,12,0.071428571,undirected
61,0,0.037037037,undirected
61,1,0.037037037,undirected
61,2,0.074074074,undirected
61,3,0.074074074,undirected
61,4,0.037037037,undirected
61,5,0.037037037,undirected
61,6,0.037037037,undirected
61,9,0.037037037,undirected
61,10,0.074074074,undirected
61,11,0.11111111,undirected
61,15,0.037037037,undirected
62,1,0.01754386,undirected
62,2,0.035087719,undirected
62,3,0.01754386,undirected
62,4,0.01754386,undirected
62,5,0.070175439,undirected
62,6,0.052631579,undirected
62,8,0.052631579,undirected
62,10,0.052631579,undirected
62,12,0.01754386,undirected
62,14,0.01754386,undirected
62,15,0.052631579,undirected
63,1,0.03125,undirected
63,2,0.0625,undirected
63,3,0.09375,undirected
63,4,0.0625,undirected
63,5,0.03125,undirected
63,7,0.0625,undirected
63,9,0.0625,undirected
63,10,0.03125,undirected
63,12,0.03125,undirected
63,14,0.03125,undirected
64,4,0.04,undirected
64,5,0.04,undirected
64,6,0.04,undirected
64,7,0.04,undirected
64,8,0.08,undirected
64,10,0.08,undirected
64,11,0.04,undirected
64,15,0.12,undirected
65,0,0.04109589,undirected
65,1,0.054794521,undirected
65,2,0.01369863,undirected
65,3,0.054794521,undirected
65,5,0.082191781,undirected
65,6,0.02739726,undirected
65,7,0.01369863,undirected
65,8,0.04109589,undirected
65,9,0.01369863,undirected
65,10,0.04109589,undirected
65,11,0.01369863,undirected
65,12,0.01369863,undirected
65,13,0.01369863,undirected
65,14,0.04109589,undirected
65,15,0.068493151,undirected
66,1,0.2,undirected
66,3,0.05,undirected
66,5,0.05,undirected
66,6,0.05,undirected
66,8,0.05,undirected
66,12,0.05,undirected
66,14,0.1,undirected
66,15,0.05,undirected
67,1,0.034482759,undirected
67,2,0.068965517,undirected
67,3,0.034482759,undirected
67,4,0.034482759,undirected
67,5,0.034482759,undirected
67,6,0.034482759,undirected
67,8,0.068965517,undirected
67,10,0.034482759,undirected
67,11,0.068965517,undirected
67,12,0.034482759,undirected
67,13,0.068965517,undirected
67,15,0.034482759,undirected
68,1,0.16666667,undirected
68,2,0.16666667,undirected
68,5,0.16666667,undirected
68,6,0.16666667,undirected
69,1,0.095238095,undirected
69,3,0.095238095,undirected
69,4,0.047619048,undirected
69,5,0.047619048,undirected
69,6,0.047619048,undirected
69,8,0.047619048,undirected
69,10,0.047619048,undirected
69,11,0.047619048,undirected
69,12,0.047619048,undirected
69,14,0.047619048,undirected
70,3,0.1,undirected
70,4,0.1,undirected
70,7,0.1,undirected
70,12,0.1,undirected
70,14,0.2,undirected
71,2,0.033333333,undirected
71,3,0.066666667,undirected
71,4,0.033333333,undirected
71,5,0.033333333,undirected
71,6,0.033333333,undirected
71,7,0.033333333,undirected
71,8,0.033333333,undirected
71,9,0.033333333,undirected
71,10,0.066666667,undirected
71,12,0.033333333,undirected
71,13,0.033333333,undirected
71,15,0.033333333,undirected
72,0,0.023255814,undirected
72,1,0.023255814,undirected
72,2,0.023255814,undirected
72,3,0.023255814,undirected
72,4,0.069767442,undirected
72,7,0.023255814,undirected
72,8,0.046511628,undirected
72,9,0.023255814,undirected
72,10,0.069767442,undirected
72,11,0.069767442,undirected
72,13,0.1627907,undirected
72,14,0.023255814,undirected
72,15,0.023255814,undirected
73,0,0.035714286,undirected
73,1,0.035714286,undirected
73,2,0.071428571,undirected
73,3,0.10714286,undirected
73,4,0.035714286,undirected
73,5,0.035714286,undirected
73,7,0.035714286,undirected
73,8,0.071428571,undirected
73,10,0.035714286,undirected
73,12,0.071428571,undirected
73,15,0.10714286,undirected
74,0,0.03125,undirected
74,1,0.03125,undirected
74,7,0.0625,undirected
74,8,0.03125,undirected
74,9,0.0625,undirected
74,10,0.03125,undirected
74,12,0.03125,undirected
74,13,0.09375,undirected
