word,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15
πενθεσιλειαν,0,0,0,0,0,0,0,0,0,0.0042918455,0,0,0,0,0,0
αμαζονων,0,0,0,0,0,0,0,0.0049019608,0,0,0,0,0,0,0,0
βασιλισσαν,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0044642857
υστερον,0,0,0,0,0.0047393365,0,0.0049261084,0,0,0,0,0,0,0,0,0
προσχων,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0047619048,0
σωμα,0,0,0.0046948357,0,0,0,0,0,0,0.0042918455,0,0,0,0,0,0
αυτης,0.0049751244,0,0,0,0,0,0,0,0,0,0,0,0.010050251,0,0,0
ευπρεπες,0,0,0,0,0,0,0,0.0049019608,0,0,0,0,0,0,0,0
πανυ,0,0,0.0046948357,0,0,0,0,0,0,0,0,0,0,0,0,0
ερωτα,0,0,0,0,0.0047393365,0,0,0,0,0,0,0,0,0,0,0
ηλθεν,0,0,0,0,0,0,0,0,0,0,0,0.0050761421,0,0,0,0
προειρημενης,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0044642857
βαρεως,0,0,0,0,0,0,0,0.0049019608,0,0,0,0,0,0,0,0
τε,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
εφερεν,0,0,0,0,0,0,0,0,0,0,0,0,0.0050251256,0,0,0
θανατῳ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0044642857
ορων,0,0.004784689,0,0,0.0047393365,0,0,0,0,0,0,0,0,0,0,0
δυσφορουντα,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0047619048,0
θερσιτης,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0044642857
ελοιδορει,0,0,0,0,0,0,0,0,0,0,0.0049751244,0,0,0,0,0
εφ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
οργισθεις,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0047619048,0
ηρως,0,0.004784689,0,0,0,0,0,0,0,0,0,0,0,0,0,0
γρονθω,0,0,0,0,0,0,0,0,0,0.0042918455,0,0,0,0,0,0
παισας,0,0,0,0,0,0,0,0.0049019608,0,0,0,0,0,0,0,0
παραυτα,0,0,0.0046948357,0,0,0,0,0,0,0,0,0,0,0,0,0
οδοντων,0,0,0,0,0,0,0,0,0,0.0042918455,0,0,0,0,0,0
ενεχθεντων,0,0.004784689,0,0,0,0,0,0,0,0,0,0,0,0,0,0
χαμαι,0,0,0,0,0.0047393365,0,0,0,0,0,0,0,0,0,0,0
ακατα,0,0,0,0.0048543689,0,0,0,0,0,0,0,0,0,0,0,0
λληλως,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0047619048,0
θελει,0.0049751244,0,0,0,0,0,0,0,0,0,0,0,0,0.0047393365,0.0047619048,0
κατανευσαι,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0047393365,0,0
αστραπτοντα,0,0,0,0,0,0,0,0,0,0,0,0.0050761421,0,0,0,0
επιδεξι,0,0,0,0,0,0,0.0049261084,0,0,0,0,0,0,0,0,0
