word,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,topic20,topic21,topic22,topic23,topic24
οἱς,0.00021537799,0.00043346337,0.00042698548,0.00043010753,0.00021915407,0.00021213407,0.00042526047,0.00063626723,0.00021710812,0,0.00064892927,0.00065919578,0.00085892205,0,0.00021294719,0.00087241003,0.00021217908,0.000213858,0.00043243243,0.00021853147,0.00086580087,0.00087279075,0,0.00021317416,0.00022016733
ἀγανοισι,0,0,0,0,0,0,0,0,0,0,0,0.00021973193,0,0,0,0,0,0,0,0,0,0,0,0,0
βελεσσι,0,0,0,0,0,0,0.00021263024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ἐποιχομενος,0,0,0,0,0,0,0,0,0.00021710812,0,0,0,0,0,0,0,0,0.000213858,0,0,0,0,0,0,0
καταπεφνῃ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00021294719,0,0,0,0,0,0,0,0,0,0
ενισσοι,0,0,0,0,0,0,0,0,0,0,0,0,0.00021473051,0,0,0,0,0,0,0,0,0,0,0,0
ειεν,0,0,0,0,0,0,0,0.00021208908,0.00021710812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
βδελυττονται,0,0,0,0,0,0,0,0,0.00021710812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ροδοδακτυλος,0,0,0,0.00021505376,0.00021915407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ηως,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00021819769,0,0,0
ἀχνυμενοι,0,0,0,0,0,0,0.00021263024,0,0,0.00021838829,0,0,0,0,0.00021294719,0,0,0,0,0.00021853147,0,0.00021819769,0.00021422451,0,0.00022016733
κηρ,0,0,0,0,0.00021915407,0,0.00021263024,0,0,0.00021838829,0,0.00043946385,0,0.00021729683,0,0.00021810251,0.00021217908,0,0,0,0,0.00021819769,0.00021422451,0,0
κατειργασατο,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00021422451,0.00021317416,0
διαπερων,0,0,0,0,0,0,0,0,0,0.00021838829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ανεστρεφατο,0.00021537799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
στενων,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000213858,0,0,0,0,0,0,0
πεισθεις,0,0,0.00021349274,0,0,0,0,0,0,0,0,0,0,0,0,0.00021810251,0,0.000213858,0,0,0.00021645022,0,0,0.00021317416,0
