word,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12
δολων,0,0,0,0,0,0,0,0,0,0.023809524,0,0,0
αποκρινεται,0,0,0,0,0,0,0,0,0,0,0,0,0.03030303
ασσα,0,0,0,0,0,0,0,0,0,0,0,0,0.03030303
ψιλωτεον,0,0,0,0,0,0,0,0,0,0.047619048,0,0,0
ισοδυναμει,0,0,0,0,0,0,0,0,0,0,0,0,0.03030303
αμφοτεροι,0,0,0,0,0.033333333,0,0,0,0,0,0,0,0
οικειοτερον,0,0,0,0,0,0,0,0,0.023255814,0,0,0,0
κεινται,0,0,0,0,0,0,0,0,0.023255814,0,0,0,0
πατροκλου,0,0,0,0,0,0,0,0,0,0.023809524,0,0,0
εξοδου,0,0,0,0,0,0,0,0,0.023255814,0,0,0,0
